id,product_id,tiki_product_id,seller_product_id,sku,name,short_description,type,brand_name,brand_id,price,list_price,original_price,market_price,discount,discount_rate,rating_average,review_count,quantity_sold,quantity_sold_text,is_official_store,is_freeship,inventory_status,is_tikinow,tikinow_time,thumbnail_url,product_url,badges,seller_id,seller_name,seller_type,seller_logo,seller_rating,seller_reviews,seller_followers,category_id,category_name,stock_qty,stock_available,stock_preorder,stock_min_sale_qty,stock_max_sale_qty
275843106,,,275843107,5471973536882,"Áo khoác thể thao nữ dáng dài chất nhẹ, mát - Hàng cao cấp",,,CeCe CiCi,5699357,339000,,339000,,0,0,0.0,0,,,0,,,,,https://salt.tikicdn.com/cache/280x280/ts/product/e5/0c/42/3399a08e0f0426ae1e88f9da2eaf0440.jpg,https://tiki.vn/ao-khoac-the-thao-nu-dang-dai-chat-nhe-mat-hang-cao-cap-p275843106.html?spid=275843107,,268616,CECE STORE,,,,,,,,,,,,
194207963,,,194207964,5174066498690,"Áo Len Dài Tay Cổ Tròn Thời Trang Hàn Quốc Cho Nữ Haint Boutique, Áo len Cổ Tròn Dài Tay Pha Ren Xinh HB50",,,Haint Boutique,248413,179000,,179000,,0,0,0.0,0,,,0,,,,,https://salt.tikicdn.com/cache/280x280/ts/product/a2/dd/57/4f942af21eaee666d6bb874b211a9d36.jpg,https://tiki.vn/ao-len-dai-tay-co-tron-thoi-trang-han-quoc-cho-nu-haint-boutique-ao-len-co-tron-dai-tay-pha-ren-xinh-hb50-p194207963.html?spid=194207964,,10738,ĐŨI VIỆT Official,,,,,,,,,,,,
187826337,,,187826345,4690065276708,Quần dài nữ Taffeta Vạt đáp 2NDDATE TR017LF,,,2NDDATE,7368299,909300,,909300,,0,0,0.0,0,,,0,,,,,https://salt.tikicdn.com/cache/280x280/ts/product/0b/bf/06/3cca9281ad6bbd343d7c2de002531361.jpg,https://tiki.vn/quan-dai-nu-taffeta-vat-dap-2nddate-tr017lf-p187826337.html?spid=187826345,,292406,2NDDATE,,,,,,,,,,,,
276801894,,,276801896,8089039902446,"Áo kiểu nữ, cổ ngang, dài tay  TAYLOR  thiết kế cao cấp WHITE CHIC",,,WHITE CHIC,8254925,1590000,,1590000,,0,0,0.0,0,,,0,,,,,https://salt.tikicdn.com/cache/280x280/ts/product/78/b6/5d/86be5d99de37169caf0d4ad9257224b3.jpg,https://tiki.vn/ao-kieu-nu-co-ngang-dai-tay-taylor-thiet-ke-cao-cap-white-chic-p276801894.html?spid=276801896,,359223,WHITECHIC STORE,,,,,,,,,,,,
274210585,,,274210591,6866045859855,Áo Dài Lemur Đào ADA002 thời trang thiết kế Hity,,,Hity,142871,1995000,,1995000,,0,0,0.0,0,,,0,,,,,https://salt.tikicdn.com/cache/280x280/ts/product/93/88/52/7490d16f0b3f9bd4ba1f5a58bc5b811a.jpg,https://tiki.vn/ao-dai-lemur-dao-ada002-thoi-trang-thiet-ke-hity-p274210585.html?spid=274210591,,255,Hity – lifestyle your way,,,,,,,,,,,,
273406720,,,273406728,2837676719227,Đồ nữ dài tay May 10 mã 060223026TĐL1 2,,,May 10,274275,399000,,399000,,0,0,0.0,0,,,0,,,,,https://salt.tikicdn.com/cache/280x280/ts/product/1f/aa/4b/2e38a0ea9866be86424c67d564cf5f84.jpg,https://tiki.vn/do-nu-dai-tay-may-10-ma-060223026tdl1-2-p273406720.html?spid=273406728,,16588,May 10,,,,,,,,,,,,
34148555,,,51502513,4988004041846,"Đồ bộ ngủ nữ tay dài, quần dài",,,OEM,111461,200000,,200000,,0,0,3.8,4,25.0,Đã bán 25,0,,,,,https://salt.tikicdn.com/cache/280x280/ts/product/3e/b1/13/3054135095e943f972e8f7ef4de6bab0.jpg,https://tiki.vn/do-bo-ngu-nu-tay-dai-quan-dai-p34148555.html?spid=51502513,,9455,MISA Shop,,,,,,,,,,,,
267341788,,,267341803,9979718839236,Áo thêu hoa trung niên dáng dài,,,Azuno,226669,59000,,59000,,0,0,0.0,0,1.0,Đã bán 1,0,,,,,https://salt.tikicdn.com/cache/280x280/ts/product/4e/18/31/532d0831cc2b43727cbfc86c6d6bbd07.jpg,https://tiki.vn/ao-theu-hoa-trung-nien-dang-dai-p267341788.html?spid=267341803,,8843,Azuno,,,,,,,,,,,,
275739406,,,275739407,2079388764984,Áo Dài Tay Nữ Golf,,,PGM,261827,2650000,,2650000,,0,0,0.0,0,,,0,,,,,https://salt.tikicdn.com/cache/280x280/ts/product/6f/ac/70/214f7546ed94a1f42e5a4be6e5f2c4ce.jpeg,https://tiki.vn/ao-dai-tay-nu-golf-p275739406.html?spid=275739407,,244635,Golfmax,,,,,,,,,,,,
49719849,,,49719851,6413105334583,TRANH THÊU TAY- THIẾU NỮ ÁO DÀI CHÈO ĐÒ,,,Gallery Minh Quân,8246304,370000,,370000,,0,0,0.0,0,,,0,,,,,https://salt.tikicdn.com/cache/280x280/ts/product/5f/18/28/b87e6f4e27dbc15e81540f2fdfd23485.jpg,https://tiki.vn/tranh-theu-tay-thieu-nu-cheo-do-p49719849.html?spid=49719851,,60355,gallery Minh Quân,,,,,,,,,,,,
167532811,,,167532812,5285075197804,Tranh thêu tay nghệ thuật thiếu nữ áo dài-T136,,,Gallery Minh Quân,8246304,800000,,800000,,0,0,0.0,0,,,0,,,,,https://salt.tikicdn.com/cache/280x280/ts/product/a3/6e/a9/c0651be04b2c9c59663cba13724256ff.jpg,https://tiki.vn/tranh-theu-tay-nghe-thuat-thieu-nu-ao-dai-t136-p167532811.html?spid=167532812,,60355,gallery Minh Quân,,,,,,,,,,,,
